اسم الورقة المالية	الرمز	الكود الدولي	رابط الاخبار
 مرسيليا المصرية الخليجية للاستثمار العقارى	MAAL	EGS739Z1C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS739Z1C016 
 المصرية لنظم التعليم الحديثة	MOED	EGS729F1C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS729F1C012 
 الجيزةالعامة للمقاولات والاستثمارالعقارى	GGCC	EGS21541C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS21541C015 
 مصر لصناعة الكيماويات	MICH	EGS38211C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38211C016 
 التعمير والاستشارات الهندسية	DAPH	EGS65081C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65081C019 
 القناة للتوكيلات الملاحية	CSAG	EGS44031C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS44031C010 
 جهينة للصناعات الغذائية	JUFO	EGS30901C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30901C010 
 بنك فيصل الاسلامي المصرية بالجنية	FAIT	EGS60321C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS60321C014 
 المصرية للأقمار الصناعية (نايل سات)	EGSA	EGS48022C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS48022C015 
 جيتكس للاستثمارات التجارية والصناعية	GTEX	EGS59U92C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS59U92C011 
 حق اكتتاب شركة التوفيق للتأجير التمويلى - اية.تي.ليس 3	ATLC_r3	EGS923X1C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS923X1C014 
 لوتس للتنمية والاستثمار الزراعى	LUTS	EGS07661C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS07661C019 
 يو للتمويل الاستهلاكى	VALU	EGS505Z1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS505Z1C018 
 بنيان للتنمية والتجارة	BONY	EGS656M1C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS656M1C010 
 وادي كوم امبو لاستصلاح الاراضي	WKOL	EGS01071C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS01071C017 
 ارابيا انفستمنتس هولدنج	AIH	EGS21351C019	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS21351C019 
 الدوليه للمحاصيل الزراعيه	IFAP	EGS07061C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS07061C012 
 العربيه وبولفارا للغزل والنسيج - يونيراب	APSW	EGS32331C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS32331C018 
 الصعيد العامة للمقاولات والاستثمار العقاري SCCD	UEGC	EGS21531C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS21531C016 
 بنك قناة السويس شركة مساهمة مصرية	CANA	EGS60231C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS60231C015 
 مصر الوطنية للصلب - عتاقة	ATQA	EGS3D0C1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3D0C1C018 
 النعيم القابضة للاستثمارات	NAHO	EGS69182C011	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS69182C011 
 بالم هيلز للتعمير	PHDC	EGS655L1C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS655L1C012 
 اسيك للتعدين - اسكوم	ASCM	EGS10001C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS10001C013 
 قناة السويس لتوطين التكنولوجيا	SCTS	EGS740C1C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS740C1C010 
 السويدى اليكتريك	SWDY	EGS3G0Z1C014	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS3G0Z1C014 
 الشرقية - ايسترن كومباني	EAST	EGS37091C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS37091C013 
 ابوقير للاسمدة والصناعات الكيماوية	ABUK	EGS38191C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38191C010 
 الزيوت المستخلصة ومنتجاتها	ZEOT	EGS38251C012	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38251C012 
 ممفيس للادوية والصناعات الكيماوية	MPCI	EGS38351C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS38351C010 
 EAC المصرية العربية (ثمار) لتداول الاوراق المالية والسندات	EASB	EGS681D1C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS681D1C010 
 سى اى كابيتال القابضة للاستثمارات المالية	CICH	EGS691D1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS691D1C018 
 بلتون القابضة	BTFH	EGS691G1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS691G1C015 
 العروبة للسمسرة فى الأوراق المالية	EOSB	EGS681I1C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS681I1C015 
 دايس للملابس الجاهزة	DSCW	EGS33321C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS33321C018 
 اكتوبر فارما	OCPH	EGS380R1C018	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS380R1C018 
 مطاحن شرق الدلتا	EDFM	EGS30361C017	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30361C017 
 العامة للصوامع والتخزين	GSSC	EGS30441C016	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30441C016 
 مطاحن ومخابز جنوب القاهرة والجيزة	SCFM	EGS30411C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS30411C010 
 الاسكندرية للغزل والنسيج (سبينالكس)	SPIN	EGS32041C013	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS32041C013 
 النصر للملابس والمنسوجات - كابو	KABO	EGS33061C010	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS33061C010 
 مينا للاستثمار السياحي والعقاري	MENA	EGS65441C015	 https://www.egx.com.eg/ar/NewsList.aspx?ISIN=EGS65441C015 
